Customer ID,Stock Ticker,Number of Shares,Purchase Price,Purchase Date
CID000001,NVDA,57,199.74,2025-03-07
CID000002,NVDA,45,444.34,2024-12-09
CID000002,GOOGL,31,337.56,2024-04-05
CID000002,JPM,48,136.52,2023-01-08
CID000002,TSLA,14,61.95,2021-11-26
CID000002,MSFT,22,361.58,2020-05-21
CID000003,NVDA,49,217.37,2021-07-24
CID000003,GOOGL,29,232.33,2021-05-31
CID000003,AMZN,62,360.46,2024-08-12
CID000003,MSFT,33,144.19,2021-04-09
CID000004,V,96,116.39,2024-02-17
CID000004,AMZN,22,208.65,2024-03-24
CID000004,MSFT,42,272.27,2024-06-26
CID000004,NVDA,40,360.44,2021-01-15
CID000005,NVDA,31,264.16,2024-10-13
CID000005,V,70,441.48,2021-01-17
CID000005,META,57,495.99,2025-03-21
CID000005,AAPL,55,100.02,2023-10-06
CID000006,META,21,412.05,2022-06-10
CID000006,V,87,284.36,2020-06-26
CID000006,JPM,98,349.46,2022-08-31
CID000007,AMZN,29,70.87,2022-09-13
CID000007,JPM,26,149.9,2021-02-19
CID000007,MSFT,62,231.02,2021-03-06
CID000007,UNH,55,364.35,2023-04-12
CID000007,NVDA,92,229.34,2023-06-06
CID000008,GOOGL,17,349.06,2024-07-23
CID000008,JPM,63,442.72,2024-09-17
CID000008,V,76,493.41,2021-09-01
CID000008,NVDA,78,240.58,2022-08-05
CID000009,TSLA,52,124.38,2024-06-04
CID000009,NVDA,80,230.22,2021-04-25
CID000009,UNH,27,226.04,2024-01-06
CID000010,TSLA,7,442.94,2021-08-12
CID000011,GOOGL,11,207.52,2022-11-22
CID000011,AAPL,28,63.69,2020-08-05
CID000011,NVDA,18,103.32,2022-03-15
CID000011,UNH,6,424.84,2023-08-08
CID000011,AMZN,75,62.8,2020-06-09
CID000012,MSFT,32,99.87,2021-03-24
CID000012,META,67,114.68,2020-12-23
CID000013,JPM,34,432.54,2021-06-14
CID000013,GOOGL,89,146.24,2024-11-08
CID000013,AAPL,32,208.5,2022-08-12
CID000014,JPM,21,232.75,2022-01-05
CID000014,V,21,406.24,2020-03-30
CID000014,NVDA,22,300.73,2020-12-19
CID000014,AMZN,41,192.54,2025-01-17
CID000014,MSFT,68,278.28,2020-09-12
CID000015,UNH,45,350.82,2022-03-24
CID000015,AAPL,36,499.64,2021-08-26
CID000015,GOOGL,88,144.6,2021-05-17
CID000015,AMZN,8,416.45,2024-06-29
CID000015,MSFT,1,146.19,2021-03-23
CID000016,UNH,97,154.87,2020-10-17
CID000016,AMZN,40,499.76,2020-07-05
CID000017,TSLA,82,259.42,2023-02-09
CID000018,META,63,365.39,2020-09-05
CID000018,TSLA,38,313.66,2020-08-22
CID000018,JPM,97,325.68,2020-09-26
CID000019,GOOGL,55,256.92,2021-12-19
CID000019,NVDA,19,248.19,2021-08-17
CID000020,META,88,247.52,2022-11-19
CID000020,JPM,15,103.12,2023-12-03
CID000021,TSLA,40,306.15,2023-10-26
CID000022,GOOGL,5,146.93,2020-12-27
CID000022,MSFT,61,279.45,2021-04-01
CID000022,TSLA,72,485.22,2024-06-07
CID000022,JPM,100,494.49,2022-10-02
CID000023,AAPL,87,185.63,2024-08-05
CID000024,AMZN,21,465.19,2020-04-08
CID000024,V,45,229.42,2021-02-17
CID000025,V,22,483.48,2022-05-27
CID000025,NVDA,75,452.83,2020-07-02
CID000025,TSLA,33,380.75,2022-12-29
CID000025,JPM,30,284.68,2020-08-21
CID000025,META,1,458.92,2024-03-02
CID000026,JPM,48,323.17,2024-01-13
CID000026,GOOGL,48,66.5,2021-01-06
CID000027,META,37,294.1,2021-08-01
CID000027,GOOGL,78,236.21,2025-01-24
CID000027,NVDA,25,367.58,2020-08-08
CID000027,JPM,81,324.67,2021-01-02
CID000028,TSLA,75,70.87,2022-12-17
CID000028,AMZN,77,62.69,2022-05-08
CID000029,TSLA,21,274.69,2020-07-17
CID000029,NVDA,26,429.93,2024-02-22
CID000030,GOOGL,15,262.86,2023-03-25
CID000030,NVDA,66,469.99,2022-02-10
CID000030,META,89,272.9,2025-01-10
CID000030,MSFT,52,173.42,2024-08-04
CID000030,TSLA,50,377.26,2021-12-26
CID000031,AMZN,17,341.94,2021-08-13
CID000032,MSFT,45,436.88,2021-05-06
CID000032,GOOGL,24,63.62,2025-03-19
CID000032,NVDA,21,332.46,2021-07-15
CID000032,AAPL,16,142.58,2023-08-03
CID000032,UNH,97,436.76,2024-07-28
CID000033,TSLA,10,105.55,2022-03-25
CID000033,META,85,143.3,2024-11-27
CID000033,V,68,96.1,2023-02-13
CID000033,GOOGL,96,491.52,2022-11-23
CID000034,GOOGL,96,132.29,2024-11-29
CID000034,JPM,59,175.22,2024-02-27
CID000034,META,58,284.47,2021-07-28
CID000034,AAPL,42,295.67,2020-06-04
CID000035,GOOGL,12,63.5,2024-04-25
CID000035,MSFT,10,110.9,2023-09-28
CID000036,GOOGL,64,445.99,2022-06-04
CID000036,AAPL,63,169.43,2022-01-02
CID000037,AAPL,91,92.89,2023-08-04
CID000037,UNH,36,393.67,2021-08-20
CID000037,MSFT,73,400.41,2023-10-05
CID000038,META,56,297.2,2024-09-03
CID000038,TSLA,98,391.45,2021-11-13
CID000038,GOOGL,14,141.18,2023-04-12
CID000039,V,86,480.86,2024-12-08
CID000039,AAPL,68,175.76,2023-04-17
CID000039,AMZN,71,338.75,2023-03-27
CID000040,AAPL,24,239.61,2024-10-15
CID000041,JPM,44,467.02,2022-02-21
CID000041,MSFT,84,190.02,2025-03-12
