Customer ID,Stock Ticker,Number of Shares,Purchase Price,Purchase Date,Current Price,Current Value
CID000001,NVDA,57,199.74,2025-03-07,109.66999816894531,6251.189895629883
CID000002,NVDA,45,444.34,2024-12-09,109.66999816894531,4935.149917602539
CID000002,GOOGL,31,337.56,2024-04-05,154.3300018310547,4784.230056762695
CID000002,JPM,48,136.52,2023-01-08,242.85000610351562,11656.80029296875
CID000002,TSLA,14,61.95,2021-11-26,263.54998779296875,3689.6998291015625
CID000002,MSFT,22,361.58,2020-05-21,378.79998779296875,8333.599731445312
CID000003,NVDA,49,217.37,2021-07-24,109.66999816894531,5373.82991027832
CID000003,GOOGL,29,232.33,2021-05-31,154.3300018310547,4475.570053100586
CID000003,AMZN,62,360.46,2024-08-12,192.72000122070312,11948.640075683594
CID000003,MSFT,33,144.19,2021-04-09,378.79998779296875,12500.399597167969
CID000004,V,96,116.39,2024-02-17,342.8500061035156,32913.6005859375
CID000004,AMZN,22,208.65,2024-03-24,192.72000122070312,4239.840026855469
CID000004,MSFT,42,272.27,2024-06-26,378.79998779296875,15909.599487304688
CID000004,NVDA,40,360.44,2021-01-15,109.66999816894531,4386.7999267578125
CID000005,NVDA,31,264.16,2024-10-13,109.66999816894531,3399.7699432373047
CID000005,V,70,441.48,2021-01-17,342.8500061035156,23999.500427246094
CID000005,META,57,495.99,2025-03-21,576.739990234375,32874.179443359375
CID000005,AAPL,55,100.02,2023-10-06,217.89999389648438,11984.49966430664
CID000006,META,21,412.05,2022-06-10,576.739990234375,12111.539794921875
CID000006,V,87,284.36,2020-06-26,342.8500061035156,29827.95053100586
CID000006,JPM,98,349.46,2022-08-31,242.85000610351562,23799.30059814453
CID000007,AMZN,29,70.87,2022-09-13,192.72000122070312,5588.880035400391
CID000007,JPM,26,149.9,2021-02-19,242.85000610351562,6314.100158691406
CID000007,MSFT,62,231.02,2021-03-06,378.79998779296875,23485.599243164062
CID000007,UNH,55,364.35,2023-04-12,516.0399780273438,28382.198791503906
CID000007,NVDA,92,229.34,2023-06-06,109.66999816894531,10089.639831542969
CID000008,GOOGL,17,349.06,2024-07-23,154.3300018310547,2623.6100311279297
CID000008,JPM,63,442.72,2024-09-17,242.85000610351562,15299.550384521484
CID000008,V,76,493.41,2021-09-01,342.8500061035156,26056.600463867188
CID000008,NVDA,78,240.58,2022-08-05,109.66999816894531,8554.259857177734
CID000009,TSLA,52,124.38,2024-06-04,263.54998779296875,13704.599365234375
CID000009,NVDA,80,230.22,2021-04-25,109.66999816894531,8773.599853515625
CID000009,UNH,27,226.04,2024-01-06,516.0399780273438,13933.079406738281
CID000010,TSLA,7,442.94,2021-08-12,263.54998779296875,1844.8499145507812
CID000011,GOOGL,11,207.52,2022-11-22,154.3300018310547,1697.6300201416016
CID000011,AAPL,28,63.69,2020-08-05,217.89999389648438,6101.1998291015625
CID000011,NVDA,18,103.32,2022-03-15,109.66999816894531,1974.0599670410156
CID000011,UNH,6,424.84,2023-08-08,516.0399780273438,3096.2398681640625
CID000011,AMZN,75,62.8,2020-06-09,192.72000122070312,14454.000091552734
CID000012,MSFT,32,99.87,2021-03-24,378.79998779296875,12121.599609375
CID000012,META,67,114.68,2020-12-23,576.739990234375,38641.579345703125
CID000013,JPM,34,432.54,2021-06-14,242.85000610351562,8256.900207519531
CID000013,GOOGL,89,146.24,2024-11-08,154.3300018310547,13735.370162963867
CID000013,AAPL,32,208.5,2022-08-12,217.89999389648438,6972.7998046875
CID000014,JPM,21,232.75,2022-01-05,242.85000610351562,5099.850128173828
CID000014,V,21,406.24,2020-03-30,342.8500061035156,7199.850128173828
CID000014,NVDA,22,300.73,2020-12-19,109.66999816894531,2412.739959716797
CID000014,AMZN,41,192.54,2025-01-17,192.72000122070312,7901.520050048828
CID000014,MSFT,68,278.28,2020-09-12,378.79998779296875,25758.399169921875
CID000015,UNH,45,350.82,2022-03-24,516.0399780273438,23221.79901123047
CID000015,AAPL,36,499.64,2021-08-26,217.89999389648438,7844.3997802734375
CID000015,GOOGL,88,144.6,2021-05-17,154.3300018310547,13581.040161132812
CID000015,AMZN,8,416.45,2024-06-29,192.72000122070312,1541.760009765625
CID000015,MSFT,1,146.19,2021-03-23,378.79998779296875,378.79998779296875
CID000016,UNH,97,154.87,2020-10-17,516.0399780273438,50055.877868652344
CID000016,AMZN,40,499.76,2020-07-05,192.72000122070312,7708.800048828125
CID000017,TSLA,82,259.42,2023-02-09,263.54998779296875,21611.098999023438
CID000018,META,63,365.39,2020-09-05,576.739990234375,36334.619384765625
CID000018,TSLA,38,313.66,2020-08-22,263.54998779296875,10014.899536132812
CID000018,JPM,97,325.68,2020-09-26,242.85000610351562,23556.450592041016
CID000019,GOOGL,55,256.92,2021-12-19,154.3300018310547,8488.150100708008
CID000019,NVDA,19,248.19,2021-08-17,109.66999816894531,2083.729965209961
CID000020,META,88,247.52,2022-11-19,576.739990234375,50753.119140625
CID000020,JPM,15,103.12,2023-12-03,242.85000610351562,3642.7500915527344
CID000021,TSLA,40,306.15,2023-10-26,263.54998779296875,10541.99951171875
CID000022,GOOGL,5,146.93,2020-12-27,154.3300018310547,771.6500091552734
CID000022,MSFT,61,279.45,2021-04-01,378.79998779296875,23106.799255371094
CID000022,TSLA,72,485.22,2024-06-07,263.54998779296875,18975.59912109375
CID000022,JPM,100,494.49,2022-10-02,242.85000610351562,24285.000610351562
CID000023,AAPL,87,185.63,2024-08-05,217.89999389648438,18957.29946899414
CID000024,AMZN,21,465.19,2020-04-08,192.72000122070312,4047.1200256347656
CID000024,V,45,229.42,2021-02-17,342.8500061035156,15428.250274658203
CID000025,V,22,483.48,2022-05-27,342.8500061035156,7542.700134277344
CID000025,NVDA,75,452.83,2020-07-02,109.66999816894531,8225.249862670898
CID000025,TSLA,33,380.75,2022-12-29,263.54998779296875,8697.149597167969
CID000025,JPM,30,284.68,2020-08-21,242.85000610351562,7285.500183105469
CID000025,META,1,458.92,2024-03-02,576.739990234375,576.739990234375
CID000026,JPM,48,323.17,2024-01-13,242.85000610351562,11656.80029296875
CID000026,GOOGL,48,66.5,2021-01-06,154.3300018310547,7407.840087890625
CID000027,META,37,294.1,2021-08-01,576.739990234375,21339.379638671875
CID000027,GOOGL,78,236.21,2025-01-24,154.3300018310547,12037.740142822266
CID000027,NVDA,25,367.58,2020-08-08,109.66999816894531,2741.749954223633
CID000027,JPM,81,324.67,2021-01-02,242.85000610351562,19670.850494384766
CID000028,TSLA,75,70.87,2022-12-17,263.54998779296875,19766.249084472656
CID000028,AMZN,77,62.69,2022-05-08,192.72000122070312,14839.44009399414
CID000029,TSLA,21,274.69,2020-07-17,263.54998779296875,5534.549743652344
CID000029,NVDA,26,429.93,2024-02-22,109.66999816894531,2851.419952392578
CID000030,GOOGL,15,262.86,2023-03-25,154.3300018310547,2314.9500274658203
CID000030,NVDA,66,469.99,2022-02-10,109.66999816894531,7238.219879150391
CID000030,META,89,272.9,2025-01-10,576.739990234375,51329.859130859375
CID000030,MSFT,52,173.42,2024-08-04,378.79998779296875,19697.599365234375
CID000030,TSLA,50,377.26,2021-12-26,263.54998779296875,13177.499389648438
CID000031,AMZN,17,341.94,2021-08-13,192.72000122070312,3276.240020751953
CID000032,MSFT,45,436.88,2021-05-06,378.79998779296875,17045.999450683594
CID000032,GOOGL,24,63.62,2025-03-19,154.3300018310547,3703.9200439453125
CID000032,NVDA,21,332.46,2021-07-15,109.66999816894531,2303.0699615478516
CID000032,AAPL,16,142.58,2023-08-03,217.89999389648438,3486.39990234375
CID000032,UNH,97,436.76,2024-07-28,516.0399780273438,50055.877868652344
CID000033,TSLA,10,105.55,2022-03-25,263.54998779296875,2635.4998779296875
CID000033,META,85,143.3,2024-11-27,576.739990234375,49022.899169921875
CID000033,V,68,96.1,2023-02-13,342.8500061035156,23313.800415039062
CID000033,GOOGL,96,491.52,2022-11-23,154.3300018310547,14815.68017578125
CID000034,GOOGL,96,132.29,2024-11-29,154.3300018310547,14815.68017578125
CID000034,JPM,59,175.22,2024-02-27,242.85000610351562,14328.150360107422
CID000034,META,58,284.47,2021-07-28,576.739990234375,33450.91943359375
CID000034,AAPL,42,295.67,2020-06-04,217.89999389648438,9151.799743652344
CID000035,GOOGL,12,63.5,2024-04-25,154.3300018310547,1851.9600219726562
CID000035,MSFT,10,110.9,2023-09-28,378.79998779296875,3787.9998779296875
CID000036,GOOGL,64,445.99,2022-06-04,154.3300018310547,9877.1201171875
CID000036,AAPL,63,169.43,2022-01-02,217.89999389648438,13727.699615478516
CID000037,AAPL,91,92.89,2023-08-04,217.89999389648438,19828.899444580078
CID000037,UNH,36,393.67,2021-08-20,516.0399780273438,18577.439208984375
CID000037,MSFT,73,400.41,2023-10-05,378.79998779296875,27652.39910888672
CID000038,META,56,297.2,2024-09-03,576.739990234375,32297.439453125
CID000038,TSLA,98,391.45,2021-11-13,263.54998779296875,25827.898803710938
CID000038,GOOGL,14,141.18,2023-04-12,154.3300018310547,2160.6200256347656
CID000039,V,86,480.86,2024-12-08,342.8500061035156,29485.100524902344
CID000039,AAPL,68,175.76,2023-04-17,217.89999389648438,14817.199584960938
CID000039,AMZN,71,338.75,2023-03-27,192.72000122070312,13683.120086669922
CID000040,AAPL,24,239.61,2024-10-15,217.89999389648438,5229.599853515625
CID000041,JPM,44,467.02,2022-02-21,242.85000610351562,10685.400268554688
CID000041,MSFT,84,190.02,2025-03-12,378.79998779296875,31819.198974609375
CID000041,V,89,52.64,2024-03-11,342.8500061035156,30513.65054321289
CID000041,UNH,89,213.16,2022-12-15,516.0399780273438,45927.558044433594
CID000042,GOOGL,72,327.02,2023-05-06,154.3300018310547,11111.760131835938
CID000042,JPM,40,270.65,2020-03-30,242.85000610351562,9714.000244140625
CID000042,NVDA,42,463.12,2024-04-24,109.66999816894531,4606.139923095703
CID000043,MSFT,85,119.07,2024-12-02,378.79998779296875,32197.998962402344
